,,"१५ ,",चित्रकला प्रतियोगिता (१-३),२२गते गण्डकी प्रदेश स्थापना दिवस 
,,"२२,",वक्तृत्व कला प्रतियोगिता (१-१०),२४ गते सोनाम ल्होसार 
,,"२८ ,",श्री पंचमी (सरस्वती पुजा ),२८ गते श्री पंचमी (विद्यालय विदा)
,,"२९,",स्टाफ वैठक ,
,,,,
११,फागुन ,"१२,",३९औ प्राविधिक दिवसको उपलक्ष्यमा चित्रकला प्रतियोगिता ,७ गते प्रजातन्त्र दिवस 
,,,,२२ गते महाशिवरात्री 
,,,,२४ गते नारी दिवस 
,,,,२५ ग्याल्बो ल्होसार 
,,,,२६ गते इद उल फितर (सम्भावित )
,,,,
१२,चैत ,"९-१७ ,",वार्षिक परीक्षा ,७गते होली पूर्णिमा 
,,"२९,",परीक्षाफल प्रकाशन ,
,,"३०,",शैक्षिक सत्र २०८३ को समाप्ति ,
